date,crop,market,modal_price
2026-08-01,Tomato,Kolar,24
2026-08-02,Tomato,Kolar,25
2026-08-03,Tomato,Kolar,24
2026-08-04,Tomato,Kolar,25
2026-08-05,Tomato,Kolar,26
2026-08-06,Tomato,Kolar,25
2026-08-07,Tomato,Kolar,26
2026-08-08,Tomato,Kolar,27
2026-08-09,Tomato,Kolar,27
2026-08-10,Tomato,Kolar,28
2026-08-11,Tomato,Kolar,27
2026-08-12,Tomato,Kolar,28
2026-08-13,Tomato,Kolar,29
2026-08-14,Tomato,Kolar,28
2026-08-15,Tomato,Kolar,29
2026-08-16,Tomato,Kolar,30
2026-08-17,Tomato,Kolar,30
2026-08-18,Tomato,Kolar,29
2026-08-19,Tomato,Kolar,30
2026-08-20,Tomato,Kolar,31
2026-08-21,Tomato,Kolar,31
2026-08-22,Tomato,Kolar,30
2026-08-23,Tomato,Kolar,31
2026-08-24,Tomato,Kolar,32
2026-08-25,Tomato,Kolar,31
2026-08-26,Tomato,Kolar,32
2026-08-27,Tomato,Kolar,33
2026-08-28,Tomato,Kolar,32
2026-08-29,Tomato,Kolar,33
2026-08-30,Tomato,Kolar,34
2026-08-31,Tomato,Kolar,33
2026-09-01,Tomato,Kolar,34
2026-09-02,Tomato,Kolar,35
2026-09-03,Tomato,Kolar,34
2026-09-04,Tomato,Kolar,35
2026-09-05,Tomato,Kolar,36
2026-09-06,Tomato,Kolar,35
2026-09-07,Tomato,Kolar,36
